rank,score_f,alltime_score_%,price_f,mileage_f,source,year,model,version,drivetrain,color,distance_f,score_adjustments,estimated_value,listing_discount,days_detected,active_sources,vin,link_0,link_1,link_2,link_3
98,19.4k,64.2,$16.5k,"27,645",autolist,2018,grand_cherokee,Latitude,,,,{},,,9,"['auto_trader', 'autolist']",3C4NJCBB5JT227742,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJCBB5JT227742,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?vin=3C4NJCBB5JT227742,,
99,19.4k,65.9,$16.0k,"43,648",autolist,2019,grand_cherokee,Latitude,,,,{},,,9,['autolist'],1C4PJLCB8KD203563,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJLCB8KD203563,,,
100,19.4k,66.0,$16.4k,"33,160",autolist,2018,grand_cherokee,Sport,,,,{},,,1,['autolist'],ZACCJAAB6JPG96181,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJAAB6JPG96181,,,
101,19.5k,67.0,$16.0k,"45,539",autolist,2016,grand_cherokee,High Altitude,,,,{},,,0,['autolist'],1C4NJRFB7GD532073,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJRFB7GD532073,,,
102,19.5k,67.2,$17.0k,"15,113",autolist,2016,grand_cherokee,High Altitude,,,,{},,,11,['autolist'],1C4NJRFB0GD618583,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJRFB0GD618583,,,
103,19.6k,68.5,$16.6k,"29,161",autolist,2016,grand_cherokee,Latitude,,,,{},,,2,['autolist'],ZACCJBBT2GPC62068,https://www.autolist.com/jeep-grand+cherokee#vin=ZACCJBBT2GPC62068,,,
104,19.6k,69.8,$15.8k,"54,332",autolist,2017,grand_cherokee,Sport Altitude,,,,{},,,6,['autolist'],1C4PJMAB5HW608589,https://www.autolist.com/jeep-grand+cherokee#vin=1C4PJMAB5HW608589,,,
105,19.6k,70.0,$17.0k,"18,048",autolist,2018,grand_cherokee,Latitude,,,,{},,,1,['autolist'],3C4NJCBB3JT374450,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJCBB3JT374450,,,
106,19.6k,71.9,$17.0k,"19,553",autolist,2017,grand_cherokee,Latitude,,,,{},,,0,['autolist'],1C4NJRFB5HD168754,https://www.autolist.com/jeep-grand+cherokee#vin=1C4NJRFB5HD168754,,,
107,19.7k,72.2,$17.0k,"20,070",autolist,2017,grand_cherokee,Latitude,,,,{},,,1,['autolist'],3C4NJDBB3HT692293,https://www.autolist.com/jeep-grand+cherokee#vin=3C4NJDBB3HT692293,,,
